date,equity,cash,position_value,open_positions,exposure,turnover_cash,regime,daily_return
2022-04-01,1062477.7423501636,69128.35182853678,993349.3905216269,3,0.934936658837081,29001640.3560889,neutral,-0.011090120360472522
2022-04-06,1055199.4271883867,69128.35182853678,986071.07535985,3,0.9344878796866565,29001640.3560889,bull,-0.006850322478923254
2022-04-07,1042394.0758859275,385003.3518285368,657390.7240573907,2,0.630654700813295,29318307.022755567,neutral,-0.012135479770472801
2022-04-08,1150055.7858280754,45206.805281990324,1104848.980546085,3,0.96069164136291,30982671.387119927,bull,0.10328311761619191
2022-04-11,1141907.7352558319,45206.805281990324,1096700.9299738416,3,0.9604111576739061,30982671.387119927,neutral,-0.007084917681951075
2022-04-12,1171309.7106184345,797929.3326047704,373380.3780136641,1,0.3187716917471167,32405617.947510347,neutral,0.02574811821903933
2022-04-13,1327526.9151466833,129595.99927143718,1197930.9158752463,3,0.9023778743822173,33072284.61417701,bull,0.13336968276799177
2022-04-14,1182797.8233322431,111304.3326047706,1071493.4907274726,3,0.9058974150872228,33722284.61417701,bull,-0.10902158755737812
2022-04-15,1171007.902132575,111304.3326047706,1059703.5695278044,3,0.9049499730940592,33722284.61417701,neutral,-0.009967824565700445
2022-04-18,1147488.09504214,828506.6135606585,318981.4814814815,1,0.2779823885403947,35109621.90502669,neutral,-0.020085096819245973
2022-04-19,1155998.1960522411,494339.9468939919,661658.2491582492,2,0.5723696208331696,35442955.238360025,neutral,0.007416286972274477
2022-04-20,1159378.0892545073,160173.28022732527,999204.8090271819,3,0.8618455172545838,35776288.57169336,neutral,0.0029237876095382642
2022-04-21,1174899.4373459034,160173.28022732527,1014726.157118578,3,0.8636706469200831,35776288.57169336,bull,0.013387650012754992
2022-04-22,1172716.2581206956,160173.28022732527,1012542.9778933702,3,0.8634168503095483,35776288.57169336,neutral,-0.0018581839056281968
2022-04-25,1130141.6563096587,820642.878122582,309498.7781870766,1,0.2738583932900125,37106750.99230682,neutral,-0.036304265005470016
2022-04-26,1107519.060442164,152309.54478924873,955209.5156529155,3,0.8624768184771098,37773417.65897349,bear,-0.020017486959436503
2022-04-27,1090259.0863666607,468184.5447892487,622074.5415774119,2,0.5705749664059251,38090084.32564016,bear,-0.01558435849276718
2022-04-28,1125827.9140892741,468184.5447892487,657643.3693000253,2,0.584141999918361,38090084.32564016,bear,0.032624197465896065
2022-04-29,1129342.7419194812,468184.5447892487,661158.1971302325,2,0.5854362653506752,38090084.32564016,bear,0.0031219938555622218
2022-05-03,1124929.4416223252,468184.5447892487,656744.8968330764,2,0.5838098573417608,38090084.32564016,bear,-0.003907848462066488
2022-05-04,1136178.9146111768,468184.5447892487,667994.3698219281,2,0.5879306165882591,38090084.32564016,bear,0.01000015874118132
2022-05-05,1152329.0060596182,468184.5447892487,684144.4612703694,2,0.5937058406694083,38090084.32564016,bear,0.014214391096994072
2022-05-06,1161335.3712050216,468184.5447892487,693150.8264157729,2,0.5968567251133905,38090084.32564016,bear,0.007815793144182459
2022-05-09,1113168.462103962,468184.5447892487,644983.9173147132,2,0.5794126758636793,38090084.32564016,bear,-0.04147545170442957
2022-05-10,1110771.5774548426,468184.5447892487,642587.0326655938,2,0.5785051091584287,38090084.32564016,bear,-0.002153209267705125
2022-05-11,1087053.6115261377,468184.5447892487,618869.0667368891,2,0.5693086892633066,38090084.32564016,bear,-0.021352694298364172
2022-05-12,1082330.2336943797,468184.5447892487,614145.6889051308,2,0.5674291170901068,38090084.32564016,bear,-0.004345119487829785
